latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-34.90334,138.5406,47.0,34200,Australia/Adelaide,GMT+9:30

time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),sunshine_duration (s),wind_speed_10m_max (km/h),relative_humidity_2m_mean (%)
2005-01-01,25.2,17.7,0.00,18934.00,22.7,51
2005-01-02,29.4,14.3,0.00,50303.00,22.7,45
2005-01-03,34.5,17.5,0.80,50311.57,40.4,47
2005-01-04,20.5,15.9,4.20,50318.31,40.7,75
2005-01-05,20.1,15.5,0.30,49707.52,27.1,66
2005-01-06,19.4,14.6,0.00,47760.00,25.4,53
2005-01-07,21.4,13.4,0.00,50326.94,25.5,53
2005-01-08,25.4,11.8,0.00,50325.79,20.5,52
2005-01-09,30.3,15.9,0.00,50322.55,15.4,41
2005-01-10,35.1,20.2,0.00,50317.16,16.0,30
2005-01-11,38.0,19.3,0.00,50309.57,32.6,34
2005-01-12,25.2,16.8,0.00,49218.87,18.7,54
2005-01-13,29.6,14.0,0.00,50287.88,16.9,49
2005-01-14,24.5,15.4,4.20,31381.57,26.5,67
2005-01-15,22.3,14.7,0.00,38355.41,22.6,61
2005-01-16,20.4,14.5,0.20,50240.41,26.4,57
2005-01-17,23.6,15.7,0.00,48228.13,23.9,61
2005-01-18,28.6,13.8,0.00,50199.30,15.3,58
2005-01-19,34.3,17.8,1.30,36000.00,31.6,40
2005-01-20,24.7,16.7,0.60,50150.98,30.5,71
2005-01-21,22.2,15.8,0.00,43264.61,21.2,61
2005-01-22,24.2,14.4,0.00,50095.75,20.8,61
2005-01-23,26.8,14.4,0.00,50046.04,26.6,62
2005-01-24,31.9,14.9,0.00,49952.34,19.6,52
2005-01-25,35.7,19.9,0.00,49856.92,19.5,37
2005-01-26,34.6,21.0,0.00,49759.88,24.9,40
2005-01-27,32.5,19.2,0.20,49661.37,20.7,60
2005-01-28,28.4,20.0,0.50,37870.09,21.2,68
2005-01-29,25.2,16.8,0.50,45855.05,24.3,64
2005-01-30,24.8,15.1,0.00,49093.36,16.8,57
2005-01-31,27.3,13.6,0.00,49255.00,11.2,55
2005-02-01,22.0,13.0,3.70,24030.21,35.1,71
2005-02-02,18.2,11.5,11.30,49027.46,38.6,68
2005-02-03,18.1,13.3,1.50,44215.43,42.1,63
2005-02-04,18.9,15.1,1.00,29760.37,33.6,70
2005-02-05,21.6,14.9,0.00,41681.98,19.8,67
2005-02-06,30.1,12.6,0.00,48601.66,26.4,55
2005-02-07,25.9,17.6,0.00,44017.38,27.5,59
2005-02-08,19.4,15.2,1.00,44099.56,25.8,66
2005-02-09,20.2,15.6,10.80,35854.61,27.7,80
2005-02-10,20.9,14.9,0.00,46840.27,20.5,66
2005-02-11,22.4,12.3,0.00,44022.14,22.3,72
2005-02-12,22.7,14.5,0.00,47538.36,24.0,63
2005-02-13,27.1,13.0,0.00,47769.81,18.1,49
2005-02-14,31.8,19.8,0.00,42759.56,19.4,31
2005-02-15,23.0,14.8,0.60,38640.76,25.6,68
2005-02-16,22.0,13.8,0.00,45365.36,23.9,56
2005-02-17,27.9,12.4,0.00,46331.55,26.6,48
2005-02-18,23.7,16.4,0.30,14871.24,28.5,57
2005-02-19,20.1,15.4,0.40,43656.70,27.7,69
2005-02-20,25.4,15.0,0.00,45064.34,21.4,64
2005-02-21,27.8,13.7,0.00,45406.56,14.6,63
2005-02-22,32.7,16.2,0.00,45463.38,18.9,41
2005-02-23,32.8,18.7,0.00,43774.12,24.3,42
2005-02-24,23.2,16.1,0.00,43571.79,26.4,67
2005-02-25,23.7,14.7,0.00,43650.90,20.8,59
