latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-27.45167,153.02014,15.0,36000,Australia/Brisbane,GMT+10

time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),sunshine_duration (s),wind_speed_10m_max (km/h),relative_humidity_2m_mean (%)
2005-01-01,28.5,17.4,0.00,46786.02,17.1,71
2005-01-02,30.3,18.8,0.00,46603.35,18.6,69
2005-01-03,32.4,20.6,0.00,49106.40,15.5,69
2005-01-04,32.8,21.6,0.00,44266.97,18.1,75
2005-01-05,32.5,24.5,1.60,28080.58,10.8,76
2005-01-06,26.9,23.7,23.40,8863.74,9.7,90
2005-01-07,30.8,22.8,1.10,28157.76,19.0,81
2005-01-08,27.2,20.8,0.00,47281.82,23.0,65
2005-01-09,25.1,19.8,0.00,45999.57,22.3,65
2005-01-10,24.0,18.5,0.10,47892.40,20.4,68
2005-01-11,25.5,18.0,0.00,48969.19,20.8,66
2005-01-12,26.2,17.7,0.00,48922.82,19.0,65
2005-01-13,26.1,17.8,0.00,46539.64,18.9,65
2005-01-14,28.7,19.1,0.00,48824.13,16.5,72
2005-01-15,28.9,20.8,1.20,42885.23,15.8,80
2005-01-16,32.2,22.1,0.20,48716.34,15.1,79
2005-01-17,30.1,23.2,0.80,38817.61,18.1,81
2005-01-18,26.5,21.8,0.50,25760.38,19.6,75
2005-01-19,26.9,20.7,0.00,42913.25,14.3,72
2005-01-20,30.3,20.1,0.00,48476.63,13.2,74
2005-01-21,33.7,22.0,0.00,47089.89,18.3,77
2005-01-22,31.9,23.4,0.90,48346.29,17.3,77
2005-01-23,29.7,24.1,1.60,47013.12,16.3,81
2005-01-24,27.5,22.6,2.00,27513.48,20.5,79
2005-01-25,23.2,22.0,8.10,9653.21,19.2,87
2005-01-26,26.3,20.5,13.40,26550.57,22.5,86
2005-01-27,23.7,20.7,14.70,5314.50,15.9,94
2005-01-28,29.5,21.7,0.30,44514.96,19.8,75
2005-01-29,30.6,21.2,0.40,47839.06,17.3,78
2005-01-30,31.7,22.7,0.00,46371.37,12.4,80
2005-01-31,28.5,23.3,0.60,36340.42,14.4,80
2005-02-01,28.2,22.8,0.00,30731.43,14.4,79
2005-02-02,29.3,21.9,3.50,29895.74,17.6,83
2005-02-03,30.6,19.7,0.50,46844.27,17.1,57
2005-02-04,30.3,19.8,0.00,46790.76,16.2,75
2005-02-05,33.8,22.2,0.10,45999.70,12.9,72
2005-02-06,32.7,21.9,0.00,45107.08,18.2,78
2005-02-07,29.6,23.8,2.70,40298.31,15.6,86
2005-02-08,32.0,23.9,1.60,43696.44,18.8,81
2005-02-09,33.1,24.8,0.70,23696.99,15.1,70
2005-02-10,26.6,22.0,18.20,2790.01,9.2,88
2005-02-11,26.7,19.6,0.20,44083.84,20.6,77
2005-02-12,26.4,20.3,0.00,42741.40,16.3,73
2005-02-13,27.6,19.3,0.00,43898.38,24.3,69
2005-02-14,26.2,20.2,0.80,43939.65,23.3,70
2005-02-15,27.3,18.8,0.00,44247.27,14.2,67
2005-02-16,31.2,17.9,0.00,43758.58,18.4,76
2005-02-17,28.3,20.4,0.10,43536.69,16.2,78
2005-02-18,28.2,22.1,0.00,43208.69,15.1,71
2005-02-19,29.2,21.5,0.00,43623.45,15.8,72
2005-02-20,28.4,21.0,0.00,43521.14,16.4,71
2005-02-21,29.4,21.0,0.00,43282.47,16.6,66
2005-02-22,30.5,21.6,0.00,43308.02,16.4,67
2005-02-23,29.0,22.4,0.00,43200.00,15.3,71
2005-02-24,28.0,22.0,0.00,35080.31,14.0,73
2005-02-25,29.5,21.9,0.00,43200.00,14.4,73
2005-02-26,29.6,22.3,1.00,43200.00,13.9,76
2005-02-27,29.2,21.1,0.50,43200.00,14.5,79
2005-02-28,28.2,21.3,0.60,42813.75,17.8,78
2005-03-01,26.9,20.6,0.30,43200.00,18.5,70
2005-03-02,28.6,18.5,0.00,43200.00,13.5,64
2005-03-03,26.6,19.5,0.00,40582.09,15.1,67
2005-03-04,29.0,17.9,0.00,43200.00,14.7,66
2005-03-05,32.1,19.3,0.00,43200.00,18.3,70
2005-03-06,29.0,21.0,0.10,43200.00,22.7,69
2005-03-07,26.5,20.8,0.00,39143.55,15.5,65
2005-03-08,26.8,18.8,0.10,43200.00,15.2,67
2005-03-09,28.1,19.0,0.00,43200.00,14.3,64
2005-03-10,30.3,18.2,0.00,43200.00,15.6,68
2005-03-11,28.2,20.2,0.30,43200.00,18.0,69
2005-03-12,26.3,20.3,0.80,43200.00,17.8,72
2005-03-13,27.1,19.2,0.10,43200.00,17.8,70
