latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-35.32513,149.156,574.0,36000,Australia/Sydney,GMT+10

time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),sunshine_duration (s),wind_speed_10m_max (km/h),relative_humidity_2m_mean (%)
2005-01-01,29.0,11.0,0.00,43568.76,19.2,50
2005-01-02,26.7,15.5,0.00,50400.00,25.3,48
2005-01-03,29.0,11.8,0.00,50400.00,19.8,44
2005-01-04,22.5,15.3,10.20,31189.85,26.3,73
2005-01-05,19.5,13.3,0.00,50400.00,21.9,64
2005-01-06,21.8,11.2,0.00,50357.23,23.5,55
2005-01-07,22.9,6.9,0.00,50305.19,17.4,48
2005-01-08,19.7,12.4,0.00,30995.05,17.0,60
2005-01-09,22.5,11.4,0.00,50199.33,17.3,58
2005-01-10,21.4,11.0,0.00,49124.32,15.2,67
2005-01-11,26.9,9.6,0.00,50091.88,15.6,58
2005-01-12,31.6,14.4,0.00,50037.84,24.8,42
2005-01-13,33.9,17.9,0.00,49983.31,19.8,34
2005-01-14,36.4,16.4,0.00,49927.55,22.5,35
2005-01-15,33.2,16.3,0.30,49870.63,14.0,53
2005-01-16,24.5,15.8,0.00,39448.27,12.3,54
2005-01-17,23.8,13.4,0.20,35827.48,15.3,64
2005-01-18,25.2,12.5,0.00,49031.63,18.0,59
2005-01-19,28.1,11.1,0.00,49633.47,14.2,58
2005-01-20,24.9,15.1,7.50,27304.52,13.4,77
2005-01-21,27.7,12.7,0.00,48189.11,16.2,71
2005-01-22,29.2,16.0,3.20,45557.56,18.0,74
2005-01-23,23.2,15.5,0.30,35749.28,17.3,80
2005-01-24,24.3,16.3,1.10,35077.38,20.0,75
2005-01-25,24.1,16.6,0.90,44947.93,20.7,75
2005-01-26,26.6,14.7,0.00,46809.63,15.5,66
2005-01-27,28.2,12.9,0.00,48647.80,13.6,63
2005-01-28,28.2,16.1,0.00,46867.80,14.8,66
2005-01-29,29.9,15.8,0.10,47111.18,19.0,69
2005-01-30,26.0,16.9,0.50,41882.98,17.7,79
2005-01-31,30.0,16.1,0.00,45112.98,11.5,60
2005-02-01,31.8,18.8,7.30,47631.07,19.5,65
2005-02-02,19.5,7.0,18.30,6945.75,27.3,94
2005-02-03,13.0,5.9,3.60,22929.93,37.2,78
2005-02-04,15.6,8.0,1.50,42172.28,21.4,79
2005-02-05,19.2,10.8,0.00,44804.39,20.8,71
2005-02-06,23.3,7.1,0.00,48011.26,18.3,67
2005-02-07,27.4,8.5,0.00,47447.74,19.0,61
2005-02-08,31.5,16.3,0.00,47475.62,33.7,43
2005-02-09,23.4,14.7,0.40,42246.31,19.7,57
2005-02-10,21.5,13.1,0.00,45680.34,16.4,69
2005-02-11,23.4,13.1,0.00,42313.36,15.6,65
2005-02-12,22.9,13.1,0.10,43882.11,15.1,71
2005-02-13,22.7,12.7,0.00,45559.02,18.4,63
2005-02-14,26.9,9.4,0.00,46495.29,15.1,63
2005-02-15,28.5,13.1,1.00,32162.77,23.1,53
2005-02-16,24.2,13.7,0.00,46364.41,19.3,59
2005-02-17,22.2,12.9,0.00,46198.33,18.1,66
2005-02-18,27.9,13.3,0.00,43987.17,16.2,62
2005-02-19,28.7,14.9,1.50,37092.82,19.6,65
2005-02-20,18.8,15.0,18.20,9050.17,13.7,85
2005-02-21,23.3,13.5,2.10,45512.45,12.6,80
2005-02-22,24.8,12.4,0.00,40323.09,12.3,76
2005-02-23,27.3,15.3,0.00,40951.91,12.0,74
2005-02-24,28.4,15.2,0.00,42068.18,12.8,70
2005-02-25,30.1,15.8,0.00,45735.95,16.6,59
2005-02-26,27.6,16.7,0.00,39212.15,18.4,74
2005-02-27,23.8,14.4,0.00,38053.25,17.4,72
2005-02-28,25.8,11.1,0.00,45505.83,12.4,64
2005-03-01,30.8,12.8,0.00,45427.24,14.2,65
2005-03-02,25.9,13.9,0.00,43124.24,21.3,69
2005-03-03,27.5,12.9,0.20,42346.29,16.3,68
2005-03-04,27.3,13.6,0.00,44469.78,18.7,51
2005-03-05,17.0,9.5,2.70,40871.41,31.1,66
2005-03-06,20.1,4.5,0.00,44547.23,10.6,58
2005-03-07,21.8,7.6,0.00,44021.88,16.8,61
2005-03-08,23.1,7.9,0.00,43773.29,13.3,66
2005-03-09,23.0,13.4,0.10,40088.81,16.4,66
2005-03-10,23.2,11.6,0.00,43185.70,16.0,71
2005-03-11,25.7,13.7,0.10,38662.14,12.2,62
2005-03-12,28.7,10.2,0.00,43163.20,9.0,59
2005-03-13,28.5,12.6,0.00,42934.94,10.5,63
2005-03-14,29.8,13.4,0.00,42883.98,14.3,55
