city,year,month,monthly_tmax
Darwin,2005,1,31.23
Darwin,2005,2,31.08
Darwin,2005,3,31.24
Darwin,2005,4,32.56
Darwin,2005,5,31.65
Darwin,2005,6,30.7
Darwin,2005,7,31.2
Darwin,2005,8,31.28
Darwin,2005,9,32.87
Darwin,2005,10,34.05
Darwin,2005,11,32.72
Darwin,2005,12,32.05
Darwin,2006,1,29.73
Darwin,2006,2,31.15
Darwin,2006,3,29.31
Darwin,2006,4,29.87
Darwin,2006,5,30.02
Darwin,2006,6,29.32
Darwin,2006,7,29.04
Darwin,2006,8,30.46
Darwin,2006,9,32.76
Darwin,2006,10,33.69
Darwin,2006,11,33.85
Darwin,2006,12,33.15
Darwin,2007,1,30.66
Darwin,2007,2,30.78
Darwin,2007,3,29.6
Darwin,2007,4,31.85
Darwin,2007,5,32.63
Darwin,2007,6,29.25
Darwin,2007,7,28.96
Darwin,2007,8,30.75
Darwin,2007,9,33.38
Darwin,2007,10,33.93
Darwin,2007,11,32.26
Darwin,2007,12,31.7
Darwin,2008,1,30.26
Darwin,2008,2,29.04
Darwin,2008,3,30.75
Darwin,2008,4,32.27
Darwin,2008,5,31.59
Darwin,2008,6,30.51
Darwin,2008,7,30.39
Darwin,2008,8,31.61
Darwin,2008,9,33.56
Darwin,2008,10,34.62
Darwin,2008,11,33.35
Darwin,2008,12,30.6
Darwin,2009,1,30.05
Darwin,2009,2,29.44
Darwin,2009,3,31.89
Darwin,2009,4,32.98
Darwin,2009,5,31.95
Darwin,2009,6,30.83
Darwin,2009,7,30.45
Darwin,2009,8,31.45
Darwin,2009,9,33.51
Darwin,2009,10,34.69
Darwin,2009,11,33.63
Darwin,2009,12,31.09
Darwin,2010,1,29.79
Darwin,2010,2,30.86
Darwin,2010,3,31.9
Darwin,2010,4,31.07
Darwin,2010,5,31.6
Darwin,2010,6,30.41
Darwin,2010,7,31.61
Darwin,2010,8,32.25
Darwin,2010,9,33.58
Darwin,2010,10,32.16
Darwin,2010,11,32.04
Darwin,2010,12,30.28
Darwin,2011,1,29.51
Darwin,2011,2,28.96
Darwin,2011,3,29.26
Darwin,2011,4,29.91
Darwin,2011,5,30.04
Darwin,2011,6,27.96
Darwin,2011,7,30.06
Darwin,2011,8,30.9
Darwin,2011,9,32.62
Darwin,2011,10,33.58
Darwin,2011,11,32.05
Darwin,2011,12,31.39
Darwin,2012,1,30.68
Darwin,2012,2,30.86
Darwin,2012,3,30.21
Darwin,2012,4,31.61
Darwin,2012,5,30.5
