latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-12.407732,130.8574,27.0,34200,Australia/Darwin,GMT+9:30

time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),sunshine_duration (s),wind_speed_10m_max (km/h),relative_humidity_2m_mean (%)
2005-01-01,28.7,25.5,31.00,24941.02,26.8,89
2005-01-02,31.9,26.4,0.50,45716.62,23.7,78
2005-01-03,30.4,26.0,17.10,28170.99,30.8,84
2005-01-04,29.7,25.4,31.40,12451.52,23.0,87
2005-01-05,31.2,27.1,9.90,33808.92,25.0,80
2005-01-06,30.5,26.4,8.40,43408.55,14.8,84
2005-01-07,33.4,25.2,0.00,45704.33,17.1,73
2005-01-08,33.2,25.9,0.30,45687.84,19.1,73
2005-01-09,32.0,27.2,0.50,45670.54,19.1,77
2005-01-10,30.6,27.4,11.60,39529.80,19.5,81
2005-01-11,29.8,25.6,11.20,10519.46,20.2,85
2005-01-12,30.9,24.7,11.80,45441.16,24.0,83
2005-01-13,30.6,25.4,2.80,45593.77,15.6,81
2005-01-14,30.9,24.8,13.90,31089.89,15.6,86
2005-01-15,31.1,25.9,10.30,38985.90,12.2,83
2005-01-16,30.2,25.5,14.40,35606.68,10.5,86
2005-01-17,31.2,24.4,7.30,39038.61,14.4,83
2005-01-18,31.8,25.6,9.70,44615.91,8.0,83
2005-01-19,30.5,25.4,10.00,40084.19,12.5,84
2005-01-20,29.8,25.3,9.70,39028.68,16.1,87
2005-01-21,30.1,25.6,5.90,37584.42,21.6,84
2005-01-22,31.0,25.0,8.20,28662.04,20.8,81
2005-01-23,31.7,27.3,2.00,39306.18,21.9,79
2005-01-24,32.9,27.2,0.00,45314.36,22.3,78
2005-01-25,32.9,27.9,0.00,43891.64,18.7,78
2005-01-26,31.9,27.8,0.00,45254.73,21.9,79
2005-01-27,31.7,27.6,2.60,45224.16,19.8,79
2005-01-28,31.8,27.7,2.30,45150.17,19.5,77
2005-01-29,32.6,27.8,0.00,43176.88,20.2,72
2005-01-30,32.5,27.0,1.60,44167.50,16.6,74
2005-01-31,30.6,26.3,4.10,32079.62,12.4,82
2005-02-01,31.2,25.7,11.10,41916.87,19.5,83
2005-02-02,30.1,25.0,17.20,31605.83,18.0,87
2005-02-03,28.8,24.8,19.50,19356.78,16.7,90
2005-02-04,26.2,24.5,43.70,7499.64,18.0,93
2005-02-05,27.7,24.2,21.60,29401.82,17.0,87
2005-02-06,30.4,25.2,2.30,43412.24,25.9,82
2005-02-07,30.8,26.7,1.60,43546.64,28.5,78
2005-02-08,30.5,26.6,4.00,43522.14,29.9,77
2005-02-09,30.8,27.1,1.90,44784.66,27.0,77
2005-02-10,29.9,26.2,3.20,43615.65,22.0,81
2005-02-11,30.3,26.9,6.80,44709.81,22.9,80
2005-02-12,31.1,26.6,13.80,42382.99,17.6,81
2005-02-13,31.2,26.0,8.90,44539.25,15.5,84
2005-02-14,32.0,25.7,4.50,44595.35,10.2,83
2005-02-15,32.5,25.5,0.50,44556.76,11.1,78
2005-02-16,32.7,25.6,0.80,44518.02,12.6,76
2005-02-17,32.3,26.5,2.40,44479.15,14.7,80
2005-02-18,31.8,26.6,2.00,44440.21,17.2,80
2005-02-19,31.9,26.5,5.40,44401.22,17.7,80
2005-02-20,30.4,25.5,14.20,44356.82,12.3,82
2005-02-21,31.2,25.9,7.30,44323.18,13.9,78
2005-02-22,31.8,24.6,0.60,44283.69,10.4,76
