latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-42.8471,147.33334,17.0,36000,Australia/Hobart,GMT+10

time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),sunshine_duration (s),wind_speed_10m_max (km/h),relative_humidity_2m_mean (%)
2005-01-01,18.5,11.3,1.50,49580.77,22.8,60
2005-01-02,14.8,9.8,2.80,52948.20,26.6,68
2005-01-03,18.7,10.3,0.00,50527.97,19.4,66
2005-01-04,15.7,10.8,12.40,8753.63,18.6,80
2005-01-05,16.8,12.3,5.20,7138.97,9.9,83
2005-01-06,14.6,10.9,0.80,49930.53,27.1,72
2005-01-07,14.7,11.2,4.00,43979.46,26.6,81
2005-01-08,15.7,10.5,0.50,41863.79,17.0,73
2005-01-09,17.8,10.3,0.00,26821.37,15.2,71
2005-01-10,21.8,11.3,0.00,49552.28,24.4,66
2005-01-11,29.0,12.8,0.00,47923.00,29.2,58
2005-01-12,21.9,14.5,0.50,51164.80,33.3,52
2005-01-13,25.6,13.9,0.00,52936.22,27.6,57
2005-01-14,20.1,13.2,0.10,47456.52,25.2,55
2005-01-15,22.2,11.4,0.70,51894.18,16.3,55
2005-01-16,15.3,10.6,1.20,52955.14,30.5,63
2005-01-17,19.0,10.2,0.10,40818.75,19.7,63
2005-01-18,22.8,10.1,0.00,52928.75,15.5,59
2005-01-19,27.7,12.7,0.00,43275.27,14.8,65
2005-01-20,16.4,13.3,1.70,4806.90,11.0,78
2005-01-21,21.4,14.1,1.10,43313.01,14.3,69
2005-01-22,18.5,12.9,0.00,23442.02,15.1,59
2005-01-23,23.4,9.7,0.00,50062.42,12.2,63
2005-01-24,25.1,11.2,0.00,52249.61,17.6,69
2005-01-25,30.9,14.7,0.00,52119.79,14.8,57
2005-01-26,33.9,17.8,2.40,51137.86,20.4,55
2005-01-27,19.7,14.0,3.20,3444.53,13.6,82
2005-01-28,30.7,16.3,2.60,40698.64,16.6,71
2005-01-29,21.5,16.2,2.70,32000.55,10.7,80
2005-01-30,23.1,12.3,0.10,50570.10,19.2,56
2005-01-31,25.3,14.3,0.00,47889.16,16.9,56
2005-02-01,29.3,12.7,6.30,40879.44,22.4,63
2005-02-02,14.3,11.6,11.20,17978.04,29.5,76
2005-02-03,18.0,12.4,27.60,2550.80,32.8,90
2005-02-04,22.3,14.6,0.10,47177.32,21.9,72
2005-02-05,16.9,13.9,9.60,5207.00,13.0,86
2005-02-06,17.0,11.8,2.10,35176.15,26.7,71
2005-02-07,25.9,8.5,0.40,47423.41,17.6,64
2005-02-08,17.0,11.0,1.00,40822.29,19.9,62
2005-02-09,17.5,9.2,0.00,47826.65,16.6,60
2005-02-10,15.6,11.1,0.00,20714.73,15.7,72
2005-02-11,19.9,11.4,0.00,28005.29,14.8,71
2005-02-12,15.4,11.0,0.60,46800.00,26.9,64
2005-02-13,18.4,9.7,0.00,45902.60,14.0,64
2005-02-14,25.6,9.2,0.00,46927.40,9.3,61
2005-02-15,16.7,10.8,5.50,42311.77,24.6,61
2005-02-16,14.0,10.5,1.30,46800.00,32.7,64
2005-02-17,19.0,9.9,0.00,46800.00,15.8,64
2005-02-18,21.0,11.6,1.80,2052.83,20.3,70
2005-02-19,20.7,15.0,0.00,43233.83,21.2,68
2005-02-20,21.4,13.4,0.00,44630.40,14.0,76
2005-02-21,22.7,11.6,0.00,42621.59,14.1,82
2005-02-22,25.5,12.9,0.00,46800.00,13.6,78
2005-02-23,24.5,14.0,0.00,39097.49,13.2,82
2005-02-24,29.2,16.7,0.20,43149.57,17.1,70
2005-02-25,19.1,13.4,0.10,25165.18,17.7,71
2005-02-26,19.3,12.2,0.00,46558.31,22.9,62
2005-02-27,17.8,10.3,0.00,46460.86,13.6,60
2005-02-28,25.7,10.5,0.80,30407.56,13.7,59
2005-03-01,24.7,13.8,2.90,24955.23,17.7,70
2005-03-02,16.6,11.3,0.00,46162.67,20.9,56
2005-03-03,21.0,9.7,0.00,46061.73,22.1,64
2005-03-04,17.0,13.0,1.60,21801.49,13.4,68
2005-03-05,12.7,8.7,5.10,20850.22,26.6,71
2005-03-06,15.5,9.1,0.00,27352.87,22.8,64
2005-03-07,16.8,10.8,0.00,30974.66,25.1,65
2005-03-08,15.7,10.5,0.00,14008.83,22.6,65
2005-03-09,18.4,12.1,0.20,38413.53,21.2,67
2005-03-10,21.2,12.3,0.00,42852.31,13.8,71
2005-03-11,21.3,9.9,0.00,43032.39,12.0,79
2005-03-12,25.5,11.6,0.30,28908.97,10.2,72
2005-03-13,30.0,16.1,0.00,41851.93,16.3,60
2005-03-14,23.7,14.3,0.70,40876.33,14.8,78
2005-03-15,18.8,11.9,2.70,6907.64,18.1,79
2005-03-16,14.1,9.6,0.00,26382.60,13.4,65
2005-03-17,14.2,7.8,0.00,37041.93,14.4,71
2005-03-18,15.1,9.6,0.50,30830.32,12.9,73
2005-03-19,18.4,8.4,0.00,39599.30,10.2,70
2005-03-20,18.6,10.2,0.80,35702.16,9.4,74
2005-03-21,18.0,11.0,0.20,39922.45,14.6,79
2005-03-22,19.5,10.3,0.00,41839.42,13.8,74
2005-03-23,15.2,11.9,1.40,25213.37,13.4,80
2005-03-24,13.6,8.4,1.50,17024.29,27.6,75
2005-03-25,11.9,8.2,0.20,28971.60,26.5,61
2005-03-26,18.0,5.1,0.00,41042.87,9.7,64
2005-03-27,17.0,11.0,3.00,30104.05,18.6,72
2005-03-28,14.0,10.2,0.00,34468.46,15.5,71
2005-03-29,17.4,8.4,0.00,39600.00,14.4,72
2005-03-30,22.3,7.4,0.00,40558.57,12.8,72
2005-03-31,25.1,10.3,0.00,36820.54,14.8,60
2005-04-01,25.9,14.0,0.00,34329.98,18.1,62
2005-04-02,27.5,13.2,0.50,35795.10,13.1,64
2005-04-03,22.6,9.7,5.90,15783.66,25.9,64
2005-04-04,17.2,9.5,0.00,39132.18,23.3,61
2005-04-05,19.2,7.1,0.00,39255.11,8.8,72
2005-04-06,15.9,8.6,2.40,22707.81,26.7,76
