latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-37.785587,144.93976,21.0,36000,Australia/Sydney,GMT+10

time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),sunshine_duration (s),wind_speed_10m_max (km/h),relative_humidity_2m_mean (%)
2005-01-01,18.9,13.2,0.00,41214.27,22.3,67
2005-01-02,18.2,11.7,0.00,52393.40,17.9,62
2005-01-03,25.9,8.8,0.20,44421.26,10.1,57
2005-01-04,24.2,16.5,6.90,38341.38,26.4,62
2005-01-05,19.5,14.9,0.60,34062.91,27.4,67
2005-01-06,17.6,12.0,0.90,51773.01,25.5,58
2005-01-07,16.8,11.0,0.40,45406.79,26.3,67
2005-01-08,19.3,12.6,0.10,46506.53,18.5,71
2005-01-09,25.0,11.5,0.00,52017.44,15.5,71
2005-01-10,29.1,14.2,0.00,51951.85,9.7,64
2005-01-11,35.4,18.1,0.00,49730.32,36.8,37
2005-01-12,24.3,16.5,0.00,49205.48,16.6,55
2005-01-13,32.7,13.2,0.00,51738.67,12.7,57
2005-01-14,27.3,13.9,0.40,42089.81,28.5,67
2005-01-15,24.7,14.5,0.30,32762.50,20.9,63
2005-01-16,20.4,14.7,0.00,43956.24,21.7,56
2005-01-17,20.8,13.8,0.10,29948.24,16.6,68
2005-01-18,24.3,14.9,0.00,49554.30,17.3,65
2005-01-19,32.6,13.9,0.00,48653.48,19.9,58
2005-01-20,26.2,15.9,1.10,47074.01,27.2,75
2005-01-21,21.4,14.6,0.00,42324.31,19.9,67
2005-01-22,21.5,14.0,0.00,46197.71,18.4,66
2005-01-23,24.4,11.4,0.00,49838.55,23.9,70
2005-01-24,26.0,14.5,0.00,48618.67,18.7,74
2005-01-25,34.2,15.6,0.00,49608.95,23.7,56
2005-01-26,33.6,22.7,0.00,48085.04,28.0,46
2005-01-27,27.7,19.4,1.30,42037.70,14.8,71
2005-01-28,34.8,18.8,1.40,36893.06,23.2,63
2005-01-29,20.7,17.1,17.40,926.77,16.2,89
2005-01-30,21.8,14.4,0.00,46470.39,14.6,68
2005-01-31,30.4,12.1,0.00,48022.08,14.0,67
2005-02-01,33.7,13.6,1.60,39880.02,37.2,62
2005-02-02,13.3,11.6,52.30,0.00,39.2,86
2005-02-03,16.3,11.9,43.10,32610.70,43.3,80
2005-02-04,18.1,11.9,1.80,33778.31,10.2,78
2005-02-05,20.5,12.8,0.20,36914.27,19.0,75
2005-02-06,20.9,12.2,0.00,47301.84,13.5,69
2005-02-07,30.7,11.7,0.00,43200.00,37.8,65
2005-02-08,19.5,15.7,12.00,14960.96,13.5,77
2005-02-09,19.3,13.2,2.00,45169.95,13.8,73
2005-02-10,17.5,13.7,0.50,46367.78,20.5,69
2005-02-11,19.4,12.0,0.00,45637.55,14.3,70
2005-02-12,17.3,14.5,1.00,31378.95,22.9,67
2005-02-13,20.0,12.8,0.00,46800.00,15.1,67
2005-02-14,29.2,9.2,0.00,46800.00,23.8,62
2005-02-15,23.5,14.3,5.70,4317.81,23.1,70
2005-02-16,17.6,12.0,0.20,38723.91,23.6,66
2005-02-17,20.5,11.2,0.00,46800.00,13.0,68
