latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-31.95079,115.807236,16.0,28800,Australia/Perth,GMT+8

time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),sunshine_duration (s),wind_speed_10m_max (km/h),relative_humidity_2m_mean (%)
2005-01-01,34.6,21.0,0.00,49278.57,29.5,49
2005-01-02,25.5,17.8,0.00,47982.91,39.0,63
2005-01-03,26.3,13.8,0.00,49187.86,33.5,51
2005-01-04,27.2,15.6,0.00,49141.07,31.1,53
2005-01-05,30.8,16.4,0.00,48944.90,25.8,47
2005-01-06,38.0,19.5,0.00,48965.94,35.3,37
2005-01-07,24.7,18.3,0.00,48912.91,23.6,73
2005-01-08,30.0,16.6,0.00,45109.94,26.6,62
2005-01-09,30.0,18.5,0.00,48135.38,33.2,68
2005-01-10,25.8,16.5,0.00,47021.05,31.3,60
2005-01-11,28.7,16.4,0.00,47212.27,32.3,60
2005-01-12,32.1,16.8,0.00,47904.68,30.8,51
2005-01-13,28.3,17.1,0.00,47026.44,37.5,54
2005-01-14,28.7,13.8,0.00,47883.85,30.8,37
2005-01-15,30.5,15.4,0.00,47911.91,29.3,35
2005-01-16,33.3,16.1,0.00,47701.41,31.5,33
2005-01-17,38.5,22.9,0.50,47430.86,25.7,24
2005-01-18,28.6,19.4,0.10,47161.48,36.5,51
2005-01-19,29.2,14.2,0.00,47187.17,26.6,41
2005-01-20,30.1,16.5,0.00,47213.07,32.2,44
2005-01-21,30.8,17.2,0.00,46946.27,31.1,50
2005-01-22,34.3,18.2,0.00,46800.00,30.4,46
2005-01-23,38.9,22.0,0.00,47007.29,31.6,40
2005-01-24,32.5,19.0,0.00,46800.00,33.0,61
2005-01-25,30.6,18.4,0.00,46800.00,34.5,55
2005-01-26,30.8,17.9,0.00,46800.00,36.5,55
2005-01-27,31.4,18.9,0.00,46800.00,36.6,51
2005-01-28,30.7,18.2,0.00,46800.00,29.1,53
2005-01-29,32.9,18.4,0.00,46800.00,28.5,52
2005-01-30,35.4,20.4,0.00,46800.00,30.9,51
2005-01-31,29.3,19.7,0.00,46800.00,39.8,58
2005-02-01,28.5,15.0,0.00,46800.00,29.6,37
2005-02-02,32.4,16.0,0.00,46800.00,30.6,28
2005-02-03,37.1,21.5,0.00,46800.00,23.0,20
2005-02-04,39.1,20.0,0.00,46800.00,25.0,31
2005-02-05,24.3,17.9,0.00,37490.66,29.0,72
2005-02-06,24.4,15.7,0.00,46800.00,30.2,61
2005-02-07,25.1,14.4,0.00,46800.00,34.1,55
2005-02-08,26.7,14.5,0.00,46800.00,30.2,54
2005-02-09,31.4,17.3,0.00,46800.00,29.5,57
2005-02-10,35.5,18.6,0.00,46800.00,32.1,47
2005-02-11,34.8,19.7,0.00,46800.00,27.2,46
2005-02-12,29.9,19.3,0.00,46800.00,21.4,63
2005-02-13,30.9,18.7,0.40,45926.56,25.9,68
2005-02-14,38.5,21.8,0.70,46800.00,31.9,53
2005-02-15,41.8,23.5,0.00,46800.00,34.6,38
2005-02-16,34.0,20.3,0.00,41457.18,20.7,68
2005-02-17,23.5,18.6,0.00,30913.61,29.1,63
2005-02-18,29.0,15.6,0.00,46723.77,22.7,52
2005-02-19,33.8,18.2,0.00,46612.95,25.4,36
2005-02-20,31.7,20.8,0.00,39600.00,31.8,42
2005-02-21,26.3,17.1,0.00,39384.83,33.1,64
2005-02-22,25.8,17.7,0.00,43476.63,28.3,56
2005-02-23,30.2,15.4,0.00,46166.69,30.4,48
2005-02-24,32.2,18.3,0.00,46052.89,24.3,46
2005-02-25,32.7,19.5,0.00,45938.20,18.6,55
2005-02-26,28.5,19.4,0.00,44425.41,17.6,69
2005-02-27,25.3,17.2,0.00,32080.28,27.5,71
2005-02-28,27.2,14.8,0.00,45589.86,36.0,55
2005-03-01,31.6,16.2,0.00,42602.00,28.0,47
2005-03-02,31.4,22.4,0.00,30737.81,27.6,41
2005-03-03,33.1,21.4,0.00,45237.01,25.4,54
2005-03-04,32.5,21.0,0.00,36843.84,26.7,44
2005-03-05,27.0,20.8,0.20,14413.03,29.9,46
2005-03-06,33.0,20.4,0.00,44882.11,21.7,37
2005-03-07,35.5,22.7,0.00,44640.12,23.4,34
2005-03-08,29.6,20.3,0.00,32959.94,23.6,65
2005-03-09,29.9,19.6,2.40,40052.88,20.6,70
2005-03-10,24.3,18.7,1.10,36599.02,27.1,77
2005-03-11,28.0,18.1,0.00,43715.54,19.8,66
2005-03-12,35.3,18.6,0.00,44175.52,26.8,51
2005-03-13,28.1,19.5,0.00,42514.81,25.5,66
2005-03-14,29.7,18.7,0.00,41217.57,32.4,54
2005-03-15,29.7,16.8,0.00,43492.41,34.7,50
2005-03-16,33.2,19.6,0.00,42416.73,33.3,42
2005-03-17,36.0,24.2,0.00,40887.64,27.4,39
2005-03-18,28.2,22.0,6.40,32126.66,13.0,67
2005-03-19,31.5,19.7,3.60,42053.24,14.7,72
2005-03-20,29.3,20.5,0.00,41842.73,16.7,73
2005-03-21,31.2,20.1,0.00,41361.77,22.8,73
2005-03-22,36.2,23.1,0.00,41533.60,18.1,49
2005-03-23,39.9,23.2,0.00,41554.80,18.8,37
2005-03-24,29.0,20.1,0.00,40492.60,16.8,76
2005-03-25,28.7,19.5,0.00,39971.69,26.4,76
2005-03-26,31.5,21.3,0.00,32366.29,20.5,61
2005-03-27,31.0,21.8,0.90,26953.41,17.8,63
2005-03-28,27.1,19.9,2.10,39600.00,20.1,80
2005-03-29,26.1,17.4,0.00,38043.79,20.3,79
2005-03-30,22.0,17.4,1.30,33214.97,16.8,76
2005-03-31,17.6,13.3,11.50,22364.86,34.4,75
2005-04-01,14.8,12.6,30.50,0.00,47.7,85
2005-04-02,19.0,13.3,0.00,29203.84,35.2,72
2005-04-03,22.6,12.1,0.00,40161.97,26.7,67
2005-04-04,28.3,15.7,0.00,40183.49,27.5,55
2005-04-05,29.1,18.0,0.00,39931.99,17.9,56
2005-04-06,32.5,18.5,0.00,39600.00,17.4,53
2005-04-07,26.7,17.2,0.00,39033.35,19.8,70
2005-04-08,20.0,15.5,1.40,6843.95,26.3,83
2005-04-09,19.6,12.1,0.00,39687.91,19.3,72
2005-04-10,23.5,11.8,0.00,39470.73,19.8,68
2005-04-11,25.2,13.1,0.00,39246.98,14.7,70
2005-04-12,23.0,14.9,0.00,36840.70,27.5,77
2005-04-13,22.8,15.3,0.00,39252.34,24.1,56
2005-04-14,27.1,14.8,0.00,39180.69,26.1,52
2005-04-15,27.7,13.1,0.00,39109.76,16.8,64
2005-04-16,22.2,14.5,0.00,34358.55,26.5,79
2005-04-17,21.1,15.0,0.00,27463.35,19.7,67
2005-04-18,23.3,11.1,0.00,38902.17,21.8,54
2005-04-19,28.4,13.2,0.00,38835.01,18.5,49
2005-04-20,24.9,12.9,0.00,38769.01,19.5,68
2005-04-21,24.7,14.3,0.30,30672.98,16.6,79
2005-04-22,25.8,14.9,0.00,38640.80,15.6,77
2005-04-23,22.2,16.3,1.00,36326.63,26.0,82
2005-04-24,21.2,13.3,0.00,38515.54,18.3,72
2005-04-25,23.2,11.6,0.00,38453.71,23.1,63
2005-04-26,22.5,11.1,0.00,38392.48,21.4,75
2005-04-27,22.3,12.8,0.00,37682.61,26.4,73
2005-04-28,23.6,14.0,0.00,38272.07,24.5,58
2005-04-29,25.1,14.9,0.00,36323.05,27.2,61
2005-04-30,21.1,17.9,5.00,0.00,24.4,72
2005-05-01,26.9,17.8,2.00,36673.21,28.3,75
2005-05-02,22.3,18.7,15.40,35049.66,29.3,91
2005-05-03,21.6,17.0,0.10,36000.00,21.5,88
2005-05-04,19.9,14.8,0.00,36154.09,15.5,74
2005-05-05,21.1,14.3,0.00,30327.24,27.0,69
2005-05-06,20.9,15.5,0.00,34376.75,22.3,71
2005-05-07,23.3,14.8,0.00,37144.41,18.9,73
2005-05-08,26.1,15.6,0.00,37172.96,19.1,69
2005-05-09,25.7,17.0,0.00,36326.44,27.5,61
2005-05-10,27.1,18.5,0.00,36000.00,24.2,62
2005-05-11,21.9,17.9,10.20,33643.99,22.4,86
2005-05-12,20.6,16.1,5.90,36097.06,22.5,81
