latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-33.848858,151.19551,69.0,36000,Australia/Sydney,GMT+10

time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),sunshine_duration (s),wind_speed_10m_max (km/h),relative_humidity_2m_mean (%)
2005-01-01,29.4,16.7,0.00,42761.18,16.5,62
2005-01-02,26.4,19.0,0.10,47286.00,20.2,73
2005-01-03,23.9,18.5,0.00,44054.92,21.9,71
2005-01-04,28.0,19.7,13.90,21600.00,24.6,78
2005-01-05,30.2,19.6,0.00,50400.00,20.4,62
2005-01-06,26.1,18.8,0.00,50400.00,14.8,57
2005-01-07,22.4,17.0,0.00,50400.00,22.7,63
2005-01-08,19.7,17.2,1.00,45795.59,18.6,64
2005-01-09,20.9,16.9,0.60,50271.46,15.9,64
2005-01-10,22.0,17.2,0.00,50400.00,19.1,59
2005-01-11,23.3,16.4,0.00,50363.29,19.0,60
2005-01-12,28.9,17.9,0.00,50311.08,21.3,63
2005-01-13,27.3,19.0,0.00,50258.45,17.1,74
2005-01-14,30.9,20.7,0.00,50204.68,21.3,66
2005-01-15,26.2,20.4,0.50,43380.04,19.8,78
2005-01-16,25.9,19.7,0.80,44142.33,24.8,82
2005-01-17,19.8,17.2,7.50,2939.70,21.1,75
2005-01-18,22.2,18.4,0.00,38306.04,12.6,62
2005-01-19,23.8,16.9,0.00,46950.38,21.6,73
2005-01-20,28.4,19.3,37.30,46137.04,24.7,79
2005-01-21,24.7,18.5,0.00,49803.96,17.1,80
2005-01-22,24.4,19.7,0.00,46785.91,18.1,83
2005-01-23,24.1,21.1,0.20,37829.71,15.9,84
2005-01-24,24.2,21.2,2.60,35528.64,19.1,85
2005-01-25,24.0,20.2,8.60,43200.00,22.4,87
2005-01-26,24.3,20.8,1.40,48405.45,15.6,75
2005-01-27,24.0,19.6,2.40,41860.27,16.9,83
2005-01-28,24.6,20.7,1.20,39948.95,15.6,85
2005-01-29,26.0,21.0,0.20,43093.78,14.6,83
2005-01-30,23.2,20.7,0.80,24388.46,20.0,85
2005-01-31,24.2,20.1,0.10,34477.52,15.6,76
2005-02-01,26.6,20.3,2.30,48323.99,21.3,79
2005-02-02,27.0,16.7,15.50,46045.03,22.5,78
2005-02-03,24.4,14.7,0.00,48716.29,26.0,41
2005-02-04,25.8,16.9,0.00,48549.67,15.4,54
2005-02-05,25.6,16.6,0.00,47653.11,10.4,58
2005-02-06,26.7,17.4,0.00,47916.98,15.5,63
2005-02-07,27.9,17.8,0.00,47310.82,13.5,73
2005-02-08,33.3,18.3,0.00,47282.48,18.7,55
2005-02-09,25.9,19.7,6.30,43720.77,18.3,74
2005-02-10,20.7,17.8,8.50,31720.99,17.2,77
2005-02-11,22.0,17.7,0.50,46063.45,15.8,70
2005-02-12,23.4,19.0,1.80,45516.54,20.2,76
2005-02-13,21.5,18.6,0.20,32467.39,16.3,63
2005-02-14,24.1,17.9,0.00,46229.00,17.8,66
